iter	Passed	Remaining
0	504	504436
1	527	263037
2	546	181508
3	565	140925
4	584	116322
5	603	99971
6	622	88279
7	641	79594
8	662	72925
9	686	67914
10	710	63918
11	742	61143
12	771	58547
13	795	55998
14	820	53897
15	841	51739
16	865	50051
17	901	49201
18	932	48128
19	954	46781
20	978	45615
21	1001	44512
22	1024	43517
23	1047	42603
24	1076	41975
25	1106	41444
26	1133	40831
27	1160	40283
28	1185	39699
29	1211	39158
30	1239	38738
31	1268	38358
32	1291	37839
33	1315	37370
34	1338	36893
35	1357	36361
36	1379	35909
37	1402	35514
38	1422	35057
39	1443	34648
40	1462	34197
41	1482	33812
42	1501	33412
43	1519	33021
44	1540	32683
45	1558	32325
46	1577	31992
47	1596	31659
48	1615	31348
49	1635	31081
50	1653	30772
51	1673	30509
52	1692	30240
53	1711	29988
54	1732	29771
55	1752	29542
56	1771	29303
57	1790	29072
58	1809	28859
59	1831	28687
60	1850	28491
61	1870	28295
62	1889	28101
63	1908	27904
64	1928	27737
65	1940	27467
66	1959	27293
67	1977	27099
68	1996	26935
69	2013	26751
70	2036	26650
71	2060	26555
72	2071	26306
73	2092	26189
74	2115	26095
75	2136	25971
76	2158	25873
77	2183	25812
78	2205	25711
79	2228	25631
80	2248	25511
81	2267	25381
82	2274	25125
83	2290	24972
84	2308	24853
85	2328	24743
86	2337	24528
87	2353	24393
88	2374	24308
89	2395	24216
90	2421	24189
91	2434	24026
92	2462	24012
93	2483	23933
94	2504	23854
95	2526	23793
96	2537	23622
97	2557	23543
98	2577	23462
99	2601	23410
100	2622	23344
101	2643	23274
102	2667	23229
103	2687	23152
104	2703	23043
105	2725	22984
106	2751	22967
107	2762	22813
108	2783	22754
109	2806	22708
110	2829	22662
111	2850	22601
112	2869	22521
113	2878	22369
114	2893	22266
115	2912	22194
116	2930	22119
117	2949	22047
118	2970	21993
119	2991	21935
120	3014	21895
121	3061	22030
122	3101	22111
123	3116	22014
124	3139	21973
125	3151	21857
126	3162	21737
127	3188	21719
128	3236	21855
129	3281	21959
130	3328	22080
131	3372	22173
132	3397	22144
133	3447	22277
134	3473	22259
135	3492	22186
136	3511	22119
137	3529	22045
138	3548	21978
139	3560	21874
140	3574	21776
141	3582	21646
142	3601	21584
143	3619	21518
144	3637	21448
145	3654	21378
146	3674	21319
147	3691	21252
148	3701	21138
149	3718	21074
150	3738	21019
151	3757	20961
152	3778	20914
153	3796	20855
154	3814	20797
155	3835	20748
156	3855	20700
157	3869	20619
158	3886	20554
159	3907	20513
160	3923	20445
161	3944	20402
162	3966	20365
163	3988	20333
164	4009	20289
165	4030	20251
166	4041	20158
167	4063	20123
168	4086	20094
169	4108	20060
170	4130	20022
171	4150	19981
172	4170	19935
173	4187	19879
174	4207	19834
175	4224	19778
176	4242	19726
177	4262	19685
178	4272	19594
179	4280	19501
180	4296	19443
181	4314	19389
182	4334	19350
183	4351	19299
184	4368	19247
185	4386	19198
186	4408	19164
187	4426	19119
188	4444	19069
189	4461	19018
190	4481	18979
191	4498	18931
192	4515	18882
193	4525	18800
194	4544	18760
195	4563	18719
